,X,Y
10,ec state said oil fat tax major european commun ec member state either strong reserv tax import domest produc oil fat propos european commiss senior diplomat said said special committe agricultur expert ec member state voic strong object measur meet charg prepar ground annual ec farm price fix begin next monday ad franc itali indic would support commiss propos would lead tax initi ecu per tonn price round,['veg-oil']
11,gould lt gld complet sale french batteri unit gould inc said complet sale french batteri busi compagni francais electro chimi group investor includ unit employe lt gnb inc minnesota gould disclos term deal gould said move part previous announc plan divest asset unrel comput electron busi,['acq']
12,shoe town inc lt shu year end jan three shr ct vs ct net vs rev mln vs mln note year net includ loss dlr eight ct share dlr one ct share respect discontinu oper year end decemb,['earn']
13,first wisconsin lt fwb buy minnesota bank first wisconsin corp said plan acquir shelard bancshar inc mln dlr cash first acquisit minnesota base bank first wisconsin said shelard hold compani two bank total asset mln dlr first wisconsin asset yearend billion dlr said shelard purchas price time earn bank said two shelard bank total five offic minneapoli st paul area,['acq']
14,american nurseri product lt ansi rd qtr net period end feb shr profit five ct vs profit four ct net profit vs profit sale vs nine mth shr loss ct vs loss ct net loss vs loss sale vs avg shr vs note full name american nurseri product inc,['earn']
15,nation fsi inc lt nfsi th qtr loss shr loss six ct vs profit ct net loss vs profit rev vs year shr loss ct vs profit ct net loss vs profit rev mln vs mln note year figur pro forma purchas account adjust result march reeacquisit compani origin sharehold august initi public offer,['earn']
16,discu corp lt disc th qtr loss shr loss six ct vs loss seven ct net loss vs loss rev mln vs mln year shr loss ct vs loss ct net loss vs loss rev mln vs mln,['earn']
17,entertain public see ct shr rd qtr loss unit dispos entertain public see ct shr rd qtr loss unit dispos,['earn']
18,pay n pak store inc lt pnp th qtr feb net shr ct vs ct net vs rev mln vs mln year shr ct vs ct net vs rev mln vs mln,['earn']
19,correct mobil lt mob upgrad refineri unit mobil corp said spend mln dlr upgrad gasolin produc unit beaumont texa refineri said unit catalyt reform convert low octan compon gasolin high octan compon use super unlead gasolin compani said modern allow unit regener catalyst continu basi without shutdown current must shut twice year unit produc barrel gasolin compon day construct start late year complet set mid correct unit output barrel day barrel year,['gas']
20,american nurseri product lt ansi rd qtr net qtr end feb shr profit five ct vs profit four ct net profit vs profit rev vs avg shr mln vs mln nine mth shr loss ct vs loss ct net loss vs loss rev vs avg shr mln vs mln note full name american nurseri product inc,['earn']
21,volvo result slightli ab volvo lt volv st said weaken dollar caus drop profit compani chief execut pehr gyllenhammar said one volvo best year ever final report releas earlier compani said group profit alloc tax billion crown compar billion despit fall gyllenhammar said sale industri product never higher volvo car volvo truck complet sold year end oper incom slightli higher year earlier said compani financi strength gave except opportun invest futur although industri sale compani yearend report said total sale billion crown billion,['earn']
22,lt meridian energi caston end letter intent lt meridian energi inc caston develop corp privat held compani jointli announc decid termin letter intent meridian would acquir caston,['acq']
23,report expect sharp drop world iron import world seaborn iron ore import fall sharpli year declin import ec japan partial offset increas demand south east asia report ocean ship consult said report predict annual world seaborn iron ore import mln tonn versu mln tonn estim total bulk ship demand iron ore sector fall almost pct billion tonn mile ship demand associ coke trade pct billion tonn mile report see ec import fall mln tonn mln japanes import fall mln mln tonn import south east asia seen rise mln mln tonn predict ec steel product fall mln tonn mln japanes product fall mln mln south korea taiwan expect doubl output mln tonn chines product increas mln tonn mln ad,"['iron-steel', 'ship']"
24,goldfield corp lt gv th qtr net loss shr loss four ct vs loss five ct net loss vs loss rev vs year shr profit four ct vs loss ct net profit vs loss rev vs note exclud loss discontinu oper four ct per share quarter loss ct year year exclud extraordinari gain two ct share,['earn']
25,british french minist discuss public spend french financ minist edouard balladur discuss need control public spend talk today british chancellor exchequ nigel lawson treasuri spokesman said spokesman said minist review economi public spend domest european commun wide declin comment whether subject concert action shore dollar arisen u currenc dip sharpli earlier week month rel stabil agreement six major industrialis nation pari februari stabilis currenc,['money-fx']
26,fed heller urg broad reform aid bank feder reserv board governor robert heller said bank system could strengthen permit format financi servic hold compani involv area like bank insur real estat secur speech prepar deliveri new york bank financi analyst associ heller said believ increas diversif along geograph product line key strengthen american bank system said support idea financi servic hold compani advoc associ bank hold compani regul variou bank thrift insur invest secur real estat subsidiari would handl function line limit would place extens credit bank associ institut transact would arm length basi heller said measur would necessari avoid abus bank special posit hold compani subsidiari heller said would requir hold compani serv sourc strength bank make commit maintain bank capit word bank would allow fail long hold compani posit net worth heller also said commerci enterpris permit financi servic hold compani provis capit would flow financi enterpris necessari heller said effect action would bank least strong corpor hold custom deposit assur incent loot bank remov diversif would give access nation intern financi servic corpor across unit state heller said would mean steadi declin america bank world financi leagu tabl would arrest permit becom competit,['acq']
27,feder depart store inc up qtli div pct set stock split feder depart store inc up qtli div pct set stock split,['earn']
28,gould lt gld sell french batteri unit gould inc said sold french batteri unit cie francais electro chimi group investor includ unit employe lt gnb inc minnesota term sale disclos unit sale mln dlr,['acq']
29,advanc genet scienc lt agsi year loss shr loss ct vs loss ct net loss vs loss rev vs note th qtr data avail,['earn']
30,feder depart lt fd rais qtli dividend feder depart store inc said rais quarterli common stock dividend ct share ct increas pct compani said also approv two one stock split form pct stock dividend time feder said ask sharehold approv increas number author share mln mln feder said dividend payabl pre split basi april sharehold record april new share stock split distribut may said,['earn']
31,danzar invest lt dnzr set special dividend danzar invest group inc said receiv mln share lt commonwealth capit ltd settlement debt distribut share stockhold dividend danzar said dividend also includ commonwealth share alreadi hold dividend share per danzar share held paid sharehold record april compani said,['earn']
32,fidel lt fnf unit acquir california concern fidel nation financi inc said fidel nation titl insur co subsidiari acquir oper safeco titl insur co northern california counti alameda contra costa san mateo term acquisit disclos,['acq']
33,home save bank lt hmsb set initi dividend qtli div nine ct pay april record april six,['earn']
34,final crop u cotton gin final crop u cotton gin total run bale vs bale end season bale end season u censu bureau said bureau said upland cotton gin final crop total bale vs bale bale american pima gin final crop total bale vs bale crop bale bureau said,['cotton']
35,american brand see record first quarter result american brand see record first quarter result,['earn']
36,bp manag director say compani plan hike dlr standard offer bp manag director say compani plan hike dlr standard offer,['acq']
37,secur lt spc user end merger talk secur pacif corp lt user inc credit union data process concern said mutual agre withdraw merger negoti user said sinc sign letter intent merg secur novemb receiv strong show support continu credit union ownership compani credit union commit purchas addit user common user also said strongest financi posit year histori,['acq']
38,entertain public lt epub see loss entertain public inc said expect tax loss ct share third quarter dispos three unit close compani said board approv plan discontinu oper three subsidiari primarili involv direct mail market discontinu unit like meet growth profit goal compani futur entertain public said three unit lost dlr ct share six month end decemb,['earn']
39,chri craft industri inc lt ccn regular payout chri craft industi inc said declar regular two pct stock dividend common stock class b common stock equal two pct stock dividend compani paid prior quarter dividend payabl april sharehold record april six,['earn']
40,lt precambrian shield resourc ltd year loss shr loss dlr vs profit ct net loss vs profit rev mln vs mln note shr net includ dlr writedown u oper uneconom coal oper miner properti,['earn']
41,dennison manufactur lt dsn sell paper unit dennison manufactur co said sign letter intent sell dunn paper co subsidiari jame river corp lt jr undisclos amount cash result first quarter charg earn compani saiud loss sale may partli reduc conting payment next five year first quarter offset gain previous announc sale hygeia scienc inc share dunn sale last year mln dlr richmond va jame river said close expect end april subject approv board reach satisfactori labor agreement,['acq']
42,pillsburi lt psi file second burger king mlp pillsburi co said file registr statement secur exchang commiss sale limit partnership interest second master limit partnership burger king unit restaur properti pillsburi said expect offer yield mln dlr result tax gain mln dlr spokesman pillsburi said compani aim get tax gain fourth fiscal quarter end may pillsburi said sale occur soon practic consid busi legal contig compani said burger king anoth pillsburi unit qsv properti master limit partnership gener partner pillsburi said expect interest sold public investor list trade new york stock exchang merril lynch lead underwrit pillsburi said pillsburi first sold limit partnership interest burger king investor l p februari,"['acq', 'earn']"
43,old republ int l corp lt oldr hike dividend qtli div ct vs ct prior pay june record june,['earn']
44,fed heller say dollar current level appropri fed heller say dollar current level appropri,"['dlr', 'money-fx']"
45,carson piri scott co lt crn set dividend qtli div ct vs ct prior pay june record may,['earn']
46,bp lt bp plan hike standard lt srd bid british petroleum co plc intend rais price plan dlr per share offer publicli held pct standard oil co bp manag director david simon said seen progress bid game told report news confer bp own pct standard stock simon said bp care consid amount plan bid quot oil analyst would identifi say bp care evalu mean compani go rais offer think increas would total wrong think price fair much earli specul ligig said let wait see offer run anoth offici declin specul circumst bp might rais bid bp offici said dlr share offer time standard cash flow pct independ evalu compani asset includ valu oil natur ga liquid natur ga reserv said price royal dutch shell group lt rd lt sc paid publicli held shell oil co share time cash flow bp offici also said dlr bid pct premium standard stock price past year bp group treasur rodney chase said half much two third billion dlr bp need offer come exist sourc rest financ new debt bp draw cash oper compani around world also arrang five billion dlr line credit explain compani debt equiti ratio rise percentag point current pct offer complet chase said ratio back pct within month ad chase also said pct standard oil publicli held share held financi institut simon said standard board inform offer march nine consid sinc time said bp expect regulatori problem would delay complet acquisit inform washington intent alreadi integr part ownership u oil reserv point simon said good chanc current world oil price dlr barrel could maintain stabl market due mostli chang polici saudi arabia opec member control oil product think signal current condit favor sometim simon said hope greater stabil see price go much higher ad,"['acq', 'crude']"
47,money market mutual fund fall billion dlr latest week ici say money market mutual fund fall billion dlr latest week ici say,['money-supply']
48,u k money market given mln stg help bank england said provid money market mln stg assist afternoon session bring bank total help far today mln stg compar revis shortag forecast mln stg central bank made purchas bank bill outright compris mln stg band one pct mln stg band two pct addit also bought two mln stg treasuri bill band two pct,"['interest', 'money-fx']"
49,bp lt bp offer rais expect oil valu british petroleum plc plan pay billion dlr less half standard oil co signal higher valu u oil patch analyst said think bp bid strong affirm clear signal confid u think barrel oil ground go go higher said sanford margosh shearson lehman brother inc bp earlier today said u unit plan tender dlr per share pct standard alreadi billion dlr price show opec war oil price go crack said prescott ball turben analyst bruce lazier behind huge implic rest energi issu stock market particularli acquisit target lazier said one mention lazier usx corp energi steel concern court investor carl icahn drew attent australian robert holm court last year rumor continu swirl around stock margosh said forese major u oil firm fall takeov situat sever year except possibl amerada hess corp lt ahc said major found partner last round matchmak end two year ago other restructur point becom unattract u oil stock ralli respons offer exxon corp lt xon rose chevron corp lt chv jump texaco lt tx climb unoc corp lt ucl rose occident petroleum corp lt oxi climb amoco corp lt rose standard oil stock heavi trade earlier session high wall street specul british petroleum may boost offer sever dlr per share compani maintain would rais dlr bid british petroleum stock rose analyst said fact british petroleum made bid first place indic british oil giant chang outlook oil industri analyst said last year british petroleum held one bearish posit oil price said real price oil would stay dlr barrel sever year think beat hasti retreat point view margosh said appropri today look optimist believ look dlr long term also heart heart believ exceed margosh said u benchmark crude west texa intermedi trade today around dlr per barrel analyst said british petroleum might abl buy rest standard oil dlr per share oil price fall last year said standard oil brightest asset slightli pct ownership alaskan prudho bay oil field analyst also said compani interest alaskan north slope analyst said standard invest extrem attract bp u largest oil market hard replac reserv think fit long rang plan increas posit u market dean witter analyst eugen nowak said analyst said also rais bp visibl ahead british govern announc dispos pct bp stock u k govern said would dispos hold sometim year begin april one acquir standard bp reserv would u six pct stock held u way sell stock move unit state market handl stock said l f rothschild analyst rosario ilacqua standard oil net loss mln dlr revenu billion dlr compar profit year earlier mln dlr revenu billion dlr,['crude']
50,fed heller say dollar level appropri feder reserv board governor robert heller said dollar current level appropri declin comment widespread market report concert central bank intervent week dollar stabl current level appropri level heller told report speech meet financi servic analyst said last month six nation currenc accord pari includ target rang dollar academ way heller also said earli determin whether parti six nation accord take appropri step carri longer term econom adjust agre pari clearli implement yet one expect implement within week two said earlier today u treasuri assist secretari told senat bank subcommitte believ west germani japan yet carri intern respons,"['dlr', 'money-fx']"
51,falcon cabl system lt fal th qtr loss shr loss dlr vs loss ct net loss mln vs loss rev vs year shr loss dlr vs loss seven ct net loss mln vs loss rev mln vs note net loss includ extraordinari loss th qtr vs year ago extraordinari loss year vs year ago,['earn']
52,home save bank lt hmsb set initi quarterli home save bank said board declar initi quarterli dividend nine ct per share payabl april record april six,['earn']
53,louisiana pacif lt lpx sell sawmil louisiana pacif corp said plan sell sawmil lakeview oregon acr timberland ostrand construct co compani said transaciton shoould final earli april term disclos,['acq']
54,suburban bancorp lt subba merger approv suburban bancorp inc said receiv approv feder reserv board acquir lt valley nation bank aurora undisclos price suburban said receiv sharehold tender pct valley nation stock,['acq']
55,univers hold corp lt uhco th qtr loss shr profit nil vs profit nine ct net profit vs profit rev vs year shr loss ct vs profit ct net loss vs profit rev mln vs note net includ capit gain vs qtr vs year current year net includ charg contract oblig former chairman,['earn']
56,greas monkey hold corp lt gmhc year nov shr nil vs nil net vs rev vs,['earn']
57,freedom feder lt frfe recogn gain freedom feder save bank said recogn first quarter earn previous defer mln dlr gain result sale apart complex said recognit come result repay loan grant complex sold,['earn']
58,pari g meet set target leigh pemberton bank england governor robin leigh pemberton said pari pact agre six lead industrialis nation set nomin exchang rate target leigh pemberton said oral evid select committe swap number reach understand cooper toward stabil currenc around current level said accord brought britain form joint currenc float one let still purs independ monetari polici would conced sinc louvr accord act someth leigh pemberton said louvr plaza accord show effect role group seven central bank oper togeth toward stabilis exchang rate leigh pemberton said mention week intervent central bank support dollar market decid test accord leigh pemberton said effect cooper actual larger mani us thought pre plaza day septemb indic exchang rate level broadli sought six nation note effect agreement leav market guess indic exchang rate level broadli sought six nation note effect agreement leav market guess leigh pemberton said principl bank england favour full em membership sterl provid move endang u k anti inflat monetari polici ask whether want see u k interest rate lower said two half point cut month bank base lend rate appropri leigh pemberton said prefer cautiou step step approach reduc short term interest rate least potenti problem inflat underli u k inflat current around pct one highest among industrialis nation ad leigh pemberton said bank england want base rate fall unveil budget march said pressur financi market move prove irresist base rate pct regard sterl relationship oil leigh pemberton said pound could seen undervalu overal said current oil price dlr barrel might suggest level bank england sterl index compar index level oil price drop around dlr level index base close today unchang previou close,"['interest', 'money-fx']"
59,commerc clear hous inc lt cclr hike div qtli div ct vs ct prior pay april record april,['earn']
60,quantech electron corp lt qant rd qtr dec shr loss ct vs loss six ct net loss vs loss rev vs nine mth shr loss ct vs loss ct net loss vs loss rev mln vs mln note prior year net includ loss discontinu oper dlr quarter dlr nine mth,['earn']
61,quantech lt qant need addit fund quantech electron corp said investig avail mean rais addit fund need financ continu oper assur succeed compani said continu experi neg cash flow today report loss third quarter end decemb dlr compar dlr loss year quantech said receiv waiver marin midland bank inc lt mm may coven loan agreement compani said marin midland agre advanc addit work capit loan person guarante chairman henri ginsburg loan marin midland secur substanti compani asset quantech also said bernard weinblatt rsign presid director replac found ginsberg act chief execut leonard n hecht formerli chief execut act chief oper offic,['earn']
62,pda engin lt pda halt softwar shipment pda engin said temporarili defer shipmetn patran softwar ibm comput due technic problem program compani said deferr reduc thrid quarter revenu earn pda said anticip resum shipment fourth quarter,['earn']
63,p f industri inc lt pfina th qtr net oper shr ct vs ct oper net vs rev mln vs mln avg shr vs year oper shr ct vs ct oper net vs rev mln vs mln avg shr vs note net exclud tax credit dlr vs dlr quarter dlr vs dlr year share adjust one five revers split octob,['earn']
64,fair lane lt fair sharehold approv merger fair lane inc said sharehold approv previous announc merger maricorp inc unit lt northern pacif corp term merger fair lane said share common stock convert right receiv share lt btr realti inc own fair line,['acq']
65,alli research associ inc lt arai year net shr ct vs ct net vs sale mln vs mln note backlog februari mln dlr vs mln dlr year,['earn']
66,feb feb,['money-supply']
67,accept insur hold inc lt acpt year oper shr profit dlr vs loss dlr oper net profit vs loss rev mln vs mln avg shr vs note net exclud realiz invest gain dlr vs dlr net exclud dlr tax credit,['earn']
68,cardena see major decis ico meet jorg cardena manag colombia coffe grower feder said believ import decis would emerg upcom meet intern coffe organ ico ico execut board set meet london march could decid call special council session end april discuss export quota go routin meet updat happen market unlik major decis taken cardena told journalist earlier month talk london introduc export quota suspend februari end failur colombian financ minist cesar gaviria also talk report end weekli nation coffe committe meet said posit brazil unit state far apart allow prompt agreement quota brazil coffe chief jorio dauster said yesterday brazil would chang coffe polici cardena said market situat get clearer trade knew project output stockpil level produc said accord ico statist shortfal nine mln kg bag world market octob start coffe year februari,['coffee']
69,cb lt cbtb make acquisit cb bancshar inc said board carrolton state bank carrolton ga approv merger cb undisclos amount stock subject approv regulatori agenc carrolton sharehold carrolton mln dlr asset,['acq']
70,american brand lt amb see higher st qtr net american brand inc said expect first quarter net earn exceed record mln dlr dlr share earn year ago quarter compani also said believ sale first quarter surpass record sale billion dlr last year compani said unit sale american tobacco lucki strike filter line rose pct last year led gain lucki franchis american brand said introduc new low price brand cigarett call malibu compani u k base gallah ltd unit strong perform becam second largest contributor oper earn american brand said,['earn']
71,usx lt x say talk end british petroleum usx corp chairman david roderick said compani end talk british petroleum co plc lt bp possibl sale energi asset said usx immedi restructur plan oil busi termin discuss roderick told reuter speech petroleum equip supplier associ said usx conduct talk possibl buyer energi asset earlier today bp said plan offer dlr per share standard oil co lt srd publicli held stock usx said decemb compani held formal discuss bp potenti sale oversea oil asset usx receiv express interest half dozen oil compani roderick respons question said usx immedi plan restructur marathon oil co texa oil ga corp said usx also plan sell pct interest giant yate field west texa want maintain product yate field difficult time roderick ad respons question roderick also said know whether australian investor robert holm court accumul usx stock recent day trader suggest holm court buy addit share roderick said carl ichan termin eight billion dlr hostil takeov plan usx januari continu hold sizabl interest compani mr ichan still appar pct bought stock sold roderick said satisfi sharehold right talk monthli speech roderick predict fall valu dollar would set stage u solv trade deficit problem total billion dlr expect earli u run net trade surplu roderick said think worst look forward stabil upward movement ahead howev usx chairman warn european trade partner may resist turn u trade deficit econom discomfort must transfer unit state friend trade partner alli,"['acq', 'crude']"
72,ny trader say soviet made larg sugar purchas soviet union bought almost tonn raw sugar intern trade hous last night sugar chang hand discount spot may world sugar contract accord trade sourc said japanes trade hous sold three cargo thai sugar rel nearbi deliveri british european base trade hous sold remain six cargo shipment april may juli said trader said week sharp fall world sugar price help provok soviet union cover nearbi need yesterday spot may sugar close cent pound,['sugar']
73,martin lawrenc limit edit lt mlle year net shr ct vs six ct net vs rev mln vs note th qtr data given,['earn']
74,commonwealth energi system lt ce dividend qtli div ct vs ct prior qtr payabl may one record april,['earn']
75,minstar inc lt mnst th qtr net oper shr loss ct vs loss ct oper net loss vs loss rev mln vs mln avg shr mln vs mln year oper shr loss eight ct vs profit ct oper net loss vs profit rev mln vs mln avg shr mln vs mln note oper net loss exclud incom discontinu oper equal ct quarter ct year compar dlr quarter dlr respect period oper net loss also exclud extraordinari charg ct quarter ct year oper net profit exclud extraordinari gain ct,['earn']
76,transworld trust lt twt set initi pay date transworld liquid trust said distribut proce sale hilton intern co ual inc lt ual holder april deal expect close march day trade ceas liquid trust share ual pay mln dlr cash share ual common stock mln dlr worth ual debentur transworld may substitut cash secur initi distribut includ cash stock debentur receiv connect sale compani said share trust formerli repres share transworld corp common stock compani said balanc cash trust use satisfi liabil oblig trust satisfact payment compani make second distribut around april said,['earn']
77,electro sensor inc lt els vote extra payout electro sensor inc said board vote extraordinari cash dividend common stock ct share payabl may record april compani paid extraordinari dividend ct may,['earn']
78,u home lt uh see best first qtr sinc u home corp said first quarter end march profit first quarter sinc compani said record profit dlr first quarter three follow first quarter result loss dlr dlr dlr respect compani said u home declin put specif figur net earn would come first quarter said would definit record profit news u home said sharehold approv amend compani certif incorpor relat liabil compani director,['earn']
79,rockefel center properti lt rcp up payout rockefel center properti inc said rais quarterli dividend ct ct share dividend payabl april sharehold record april,['earn']
80,sandustri plastic inc lt spi th qtr net shr seven ct vs ct net vs rev vs mth shr ct vs ct net vs rev mln vs mln note year includ extraordinari gain ct per share,['earn']
81,china switch u wheat china switch purchas u wheat total tonn season began june season deliveri u agricultur depart said depart said outstand wheat sale china current season amount tonn sale deliveri season amount tonn total corn commit season total tonn depart said,"['corn', 'grain', 'wheat']"
82,cocoa chairman work toward buffer compromis intern cocoa organ icco council chairman deni bra kanon continu work toward compromis plan icco buffer stock buy cocoa consum deleg said consum deleg said bra kanon formal present compromis plan produc consum unlik would friday said widespread confid result outstand item could reach friday council session due end consum said bra kanon complet bilater consult sever deleg today main stick point draft buffer stock rule packag said certain deleg want discuss amount non member cocoa buffer stock permit buy differenti differ origin cocoa limit buffer stock purchas nearbi forward materi deleg said buffer stock work group final remain buffer stock rule minor modif origin draft buffer stock packag produc last week deleg said icco council due elect new execut director reconven friday produc deleg said produc intend present singl candid post like edouard kouam ivori coast said earlier exist execut director kobena erbynn ghana expect nomin like withdraw deleg said execut committe due meet friday gmt council unlik reconven late friday consum said,['cocoa']
83,franc fight ec farm propos minist french agricultur minist francoi guillaum warn franc would flatli reject propos reform european commun ec cereal sugar oilse sector said would disrupt market ec commiss propos shorten intervent period lower monthli premium cereal increas financi burden sugar produc also result lower real price produc told farmer give word franc reject technic adjust seriou discuss simpli repli neg bad reform guillaum told annual confer countri major farm union fnsea feder national de syndicat dexploit agricol commun agricultur minist due meet monday tri agre packag reform curb spiral ec output fix farm price relat govern farmer becom strain franc recent month sporad frequent demonstr farmer protest sharp fall meat pork price cutback commun milk output guillaum warn would reject reorganis ec cereal sugar market franc major produc crop warm applaus fnsea farmer pledg fight ec propos push complet dismantl system cross border tax design smooth currenc differ known monetari compensatori amount mca howev unlik avoid protest produc farm leader raymond lacomb said union plan go ahead seri major protest franc abroad ec commiss propos overhaul farm sector minist propos back determin organis union action come week told report ad could also act guillaum favour ministeri level guillaum head fnsea mani year appoint farm minist last spring lacomb refus say whether farmer felt guillaum good job farm minist certain advanc cut product cost reduc fiscal cost award drought aid still area could done farmer indebted said guillaum told confer govern make avail billion franc mln dlr help produc reduc milk output encourag older farmer retir govern alreadi announc financi aid milk sector clear much packag announc today new aid lacomb said,"['carcass', 'grain', 'livestock', 'sugar']"
84,first financi lt ffmc buy confidata first financi manag corp said acquir confidata corp unit lt north ridg bank pay dlr cash pledg guarante dlr confidata note held north ridg first financi provid data process servic commun bank financi institut said acquisit expand custom base,['acq']
85,combust engin lt csp unit buyout combust engin inc said c e environment system servic inc unit agre principl acquir lt e c jordan co privat held firm base portland term acquisit mot disclos combust engin said c e environment provid environment scienc manag servic sale mln dlr,['acq']
86,lt mark resourc inc year loss shr given loss mln rev mln note prior year result given result includ account pct own lt precambrian shield resourc ltd acquir novemb,['earn']
87,pepco lt pom two mth feb net shr ct vs ct net mln vs mln rev mln vs mln mth shr dlr vs dlr net mln vs mln rev billion vs billion note full name potomac electr power co year includ extraordinari gain mln ct per share june sale compani virginia servic territori virginia power,['earn']
88,italian gdp pct unemploy rise extract report itali budget ministri countri econom develop show gross domest product gdp pct higher real term rise unemploy gdp calcul price rose billion lire last year billion current price basi gdp pct total billion lire billion growth insuffici prevent rise unemploy pct last year pct ministri said report said fall oil price depreci dollar favour oil import countri itali factor help itali cut inflat averag pct pct also help major improv trade balanc basi data recent recalcul nation statist institut istat itali trade deficit billion lire report said slightli revis previou deficit figur billion issu istat compar neg balanc billion,"['gnp', 'jobs']"
89,mar mar,['money-fx']
90,ferruzzi pari unit seen absorb cpc purchas sourc close itali lt gruppo ferruzzi said lt european sugar franc french compani own ferruzzi would take control lt cpc industri divis corn wet mill busi acquir italian group earlier week cpc intern inc lt cpc sourc told reuter european sugar own ferruzzi subsidiari eridania zuccherifici nazionali spa lt erdi mi plan seek list pari bours make share offer cpc intern announc tuesday agre principl sell european corn wet millng busi ferruzzi deal worth mln dlr,"['acq', 'corn', 'grain']"
91,decis industri lt dic see st qtr loss decis industri corp said expect report oper loss ct share first quarter end march mainli due lower profit margin higher sale market cost st quarter last year compani quarter end feb earn dlr ct share revenu mln dlr decis also said enter agreement sell intern computer telemarket inc subsidiari investor group head unit senior manag term disclos decis also said consolid decis develop corp subsidiari decis data comput corp unit design manufactur sell system x peripher product said restructur advers affect first quarter earn said expect realiz signific save oper expens remaind year,['earn']
